Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
1.433411;10.833099;14.336546;2.839839;;;;;1.433411;-13.577179;2.866945;31.384466
1.441697;12.29829;14.419416;2.85635;;;;;1.441697;-13.577179;2.883516;31.526178
1.449982;13.826848;14.502286;2.872822;;;;;1.449982;-13.577179;2.900088;31.662973
1.458268;15.420408;14.585156;2.889317;;;;;1.458268;-13.577179;2.91666;31.794231
1.466554;17.071165;14.668027;2.90578;;;;;1.466554;-13.577179;2.933232;31.917587
1.474839;18.784264;14.750897;2.922294;;;;;1.474839;-13.577179;2.949804;32.031517
1.483125;20.54039;14.833767;2.938765;;;;;1.483125;-13.577179;2.966376;32.134945
1.49141;22.367861;14.916637;2.955256;;;;;1.49141;-13.577179;2.982948;32.228897
1.499696;24.253206;14.999508;2.971727;;;;;1.499696;-13.577179;2.99952;32.31543
1.507982;26.199377;15.082377;2.988214;;;;;1.507982;-13.577179;3.016092;32.397305
1.516267;28.197769;15.165248;3.004707;;;;;1.516267;-13.577179;3.032664;32.473843
1.524553;30.254965;15.248118;3.021189;;;;;1.524553;-13.577179;3.049236;32.543533
1.532839;32.345303;15.330989;3.03767;;;;;1.532839;-13.577179;3.065808;32.604923
1.541124;34.500034;15.413858;3.05415;;;;;1.541124;-13.577179;3.08238;32.65823
1.54941;36.695038;15.496729;3.070647;;;;;1.54941;-13.577179;3.098952;32.703758
1.557695;38.932377;15.579599;3.087133;;;;;1.557695;-13.577179;3.115524;32.743568
1.565981;41.231705;15.662469;3.103614;;;;;1.565981;-13.577179;3.132095;32.778202
1.574267;43.577702;15.745339;3.120094;;;;;1.574267;-13.577179;3.148667;32.80727
1.582552;45.958904;15.82821;3.136589;;;;;1.582552;-13.577179;3.165239;32.829838
1.590838;48.355865;15.911079;3.153078;;;;;1.590838;-13.577179;3.181811;32.844193
1.599123;50.793221;15.99395;3.169549;;;;;1.599123;-13.577179;3.198383;32.850983
1.607409;53.2616;16.07682;3.186042;;;;;1.607409;-13.577179;3.214955;32.851784
1.615695;55.755295;16.159691;3.202527;;;;;1.615695;-13.577179;3.231527;32.846832
1.62398;58.267776;16.242561;3.219018;;;;;1.62398;-13.577179;3.248099;32.83638
1.632266;60.804531;16.325432;3.235496;;;;;1.632266;-13.577179;3.264671;32.820675
1.640552;63.346245;16.4083;3.251978;;;;;1.640552;-13.577179;3.281243;32.798611
1.648837;65.929825;16.491171;3.268469;;;;;1.648837;-13.577179;3.297815;32.768951
1.657123;68.525467;16.574041;3.284962;;;;;1.657123;-13.577179;3.314387;32.732662
1.665408;71.139694;16.656912;3.301435;;;;;1.665408;-13.577179;3.330959;32.691315
1.673694;73.755836;16.739782;3.317924;;;;;1.673694;-13.577179;3.347531;32.64621
1.68198;76.386482;16.822653;3.334418;;;;;1.68198;-13.577179;3.364102;32.598076
1.690265;79.033409;16.905523;3.350904;;;;;1.690265;-13.577179;3.380674;32.545574
1.698551;81.669014;16.988392;3.367381;;;;;1.698551;-13.577179;3.397246;32.488251
1.706836;84.329163;17.071262;3.383866;;;;;1.706836;-13.577179;3.413818;32.426193
1.715122;87.002617;17.154133;3.400356;;;;;1.715122;-13.577179;3.43039;32.358669
1.723408;89.683128;17.237003;3.416845;;;;;1.723408;-13.577179;3.446962;32.285439
1.731693;92.365578;17.319874;3.433322;;;;;1.731693;-13.577179;3.463534;32.206623
1.739979;95.047218;17.402744;3.449803;;;;;1.739979;-13.577179;3.480106;32.124119
1.748265;97.722099;17.485615;3.466298;;;;;1.748265;-13.577179;3.496678;32.038265
1.75655;100.41037;17.568483;3.482787;;;;;1.75655;-13.577179;3.51325;31.948828
1.764836;103.102348;17.651354;3.49926;;;;;1.764836;-13.577179;3.529822;31.856422
1.773121;105.795387;17.734224;3.515742;;;;;1.773121;-13.577179;3.546394;31.760309
1.781407;108.491768;17.817095;3.532241;;;;;1.781407;-13.577179;3.562966;31.660862
1.789693;111.175529;17.899965;3.54873;;;;;1.789693;-13.577179;3.579538;31.558378
1.797978;113.852058;17.982836;3.565206;;;;;1.797978;-13.577179;3.59611;31.451582
1.806264;116.497543;18.065704;3.581687;;;;;1.806264;-13.577179;3.612681;31.340284
1.814549;119.152924;18.148575;3.598179;;;;;1.814549;-13.577179;3.629253;31.225801
1.822835;121.810783;18.231445;3.614671;;;;;1.822835;-13.577179;3.645825;31.107759
1.831121;124.462219;18.314316;3.631149;;;;;1.831121;-13.577179;3.662397;30.986622
1.839406;127.102684;18.397186;3.647635;;;;;1.839406;-13.577179;3.678969;30.862082
1.847692;129.726669;18.480057;3.664122;;;;;1.847692;-13.577179;3.695541;30.734617
1.855978;132.325562;18.562927;3.680612;;;;;1.855978;-13.577179;3.712113;30.604174
1.864263;134.919113;18.645796;3.697091;;;;;1.864263;-13.577179;3.728685;30.471613
1.872549;137.498291;18.728666;3.713574;;;;;1.872549;-13.577179;3.745257;30.337458
1.880834;140.063232;18.811537;3.730062;;;;;1.880834;-13.577179;3.761829;30.200201
1.88912;142.612198;18.894407;3.746553;;;;;1.88912;-13.577179;3.778401;30.059937
1.897406;145.138168;18.977278;3.763032;;;;;1.897406;-13.577179;3.794973;29.917088
1.905691;147.642029;19.060148;3.77951;;;;;1.905691;-13.577179;3.811545;29.771791
1.913977;150.11261;19.143019;3.796006;;;;;1.913977;-13.577179;3.828117;29.624592
1.922262;152.56778;19.225887;3.812497;;;;;1.922262;-13.577179;3.844689;29.476593
1.930548;155.004166;19.308758;3.828974;;;;;1.930548;-13.577179;3.86126;29.326815
1.938834;157.408722;19.391628;3.84546;;;;;1.938834;-13.577179;3.877832;29.174612
1.947119;159.77951;19.474499;3.861949;;;;;1.947119;-13.577179;3.894404;29.019596
1.955405;162.118332;19.557369;3.878438;;;;;1.955405;-13.577179;3.910976;28.862156
1.96369;164.415512;19.64024;3.894917;;;;;1.96369;-13.577179;3.927548;28.703138
1.971976;166.696823;19.72311;3.911398;;;;;1.971976;-13.577179;3.94412;28.544022
1.980262;168.958954;19.805979;3.927893;;;;;1.980262;-13.577179;3.960692;28.385033
1.988547;171.19606;19.888849;3.944382;;;;;1.988547;-13.577179;3.977264;28.225157
1.996833;173.412613;19.97172;3.960859;;;;;1.996833;-13.577179;3.993836;28.065214
2.005119;175.606293;20.05459;3.977335;;;;;2.005119;-13.577179;4.010408;27.905867
2.013404;177.762772;20.137461;3.993834;;;;;2.013404;-13.577179;4.02698;27.745821
2.02169;179.884811;20.220331;4.010324;;;;;2.02169;-13.577179;4.043552;27.584103
2.029975;181.980133;20.303202;4.026804;;;;;2.029975;-13.577179;4.060124;27.421635
2.038261;184.04744;20.38607;4.043283;;;;;2.038261;-13.577179;4.076695;27.257196
2.046547;186.076233;20.468941;4.05977;;;;;2.046547;-13.577179;4.093267;27.090836
2.054832;188.061768;20.551811;4.076261;;;;;2.054832;-13.577179;4.109839;26.923208
2.063118;190.005188;20.634682;4.092741;;;;;2.063118;-13.577179;4.126411;26.755892
2.071404;191.902008;20.717552;4.109228;;;;;2.071404;-13.577179;4.142983;26.588688
2.079689;193.767334;20.800423;4.125717;;;;;2.079689;-13.577179;4.159555;26.4223
2.087975;195.60202;20.883293;4.142204;;;;;2.087975;-13.577179;4.176127;26.257444
2.09626;197.39743;20.966162;4.158686;;;;;2.09626;-13.577179;4.192699;26.09173
2.104546;199.157654;21.049032;4.175169;;;;;2.104546;-13.577179;4.209271;25.924248
2.112832;200.885147;21.131903;4.191661;;;;;2.112832;-13.577179;4.225843;25.756016
2.121117;202.565353;21.214773;4.208147;;;;;2.121117;-13.577179;4.242415;25.587627
2.129403;204.208511;21.297644;4.224625;;;;;2.129403;-13.577179;4.258987;25.41976
2.137688;205.823837;21.380514;4.241122;;;;;2.137688;-13.577179;4.275559;25.252813
2.145974;207.405319;21.463385;4.257608;;;;;2.145974;-13.577179;4.292131;25.085928
2.15426;208.953995;21.546253;4.274095;;;;;2.15426;-13.577179;4.308702;24.919361
2.162545;210.467865;21.629124;4.290566;;;;;2.162545;-13.577179;4.325274;24.753592
2.170831;211.946548;21.711994;4.307054;;;;;2.170831;-13.577179;4.341846;24.588015
2.179116;213.385391;21.794865;4.323545;;;;;2.179116;-13.577179;4.358418;24.421751
2.187402;214.788803;21.877735;4.340033;;;;;2.187402;-13.577179;4.37499;24.254797
2.195688;216.158127;21.960606;4.356513;;;;;2.195688;-13.577179;4.391562;24.088282
2.203973;217.487778;22.043476;4.373;;;;;2.203973;-13.577179;4.408134;23.922556
2.212259;218.780045;22.126345;4.38949;;;;;2.212259;-13.577179;4.424706;23.758217
2.220545;220.034927;22.209215;4.405969;;;;;2.220545;-13.577179;4.441278;23.595341
2.22883;221.24913;22.292086;4.422453;;;;;2.22883;-13.577179;4.45785;23.432579
2.237116;222.427017;22.374956;4.438938;;;;;2.237116;-13.577179;4.474422;23.269667
2.245401;223.575256;22.457827;4.455425;;;;;2.245401;-13.577179;4.490994;23.107029
2.253687;224.69339;22.540697;4.471911;;;;;2.253687;-13.577179;4.507566;22.944132
2.261973;225.782654;22.623568;4.488392;;;;;2.261973;-13.577179;4.524138;22.781485
2.270258;226.839233;22.706436;4.504878;;;;;2.270258;-13.577179;4.54071;22.620045
2.278544;227.861282;22.789307;4.521369;;;;;2.278544;-13.577179;4.557281;22.460005
2.286829;228.847565;22.872177;4.537854;;;;;2.286829;-13.577179;4.573853;22.301401
2.295115;229.801437;22.955048;4.554336;;;;;2.295115;-13.577179;4.590425;22.14411
2.303401;230.727997;23.037918;4.570828;;;;;2.303401;-13.577179;4.606997;21.988033
2.311686;231.620377;23.120789;4.587316;;;;;2.311686;-13.577179;4.623569;21.832195
2.319972;232.477127;23.203659;4.603795;;;;;2.319972;-13.577179;4.640141;21.676357
2.328258;233.295593;23.286528;4.620275;;;;;2.328258;-13.577179;4.656713;21.521353
2.336543;234.07486;23.369398;4.636766;;;;;2.336543;-13.577179;4.673285;21.366812
