Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;;;;;;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;;;;;;;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm;;;;;;
-23.008905;8.608524;-14.233988;0;;;;;;;2.193426;0.180163;-23.008905;0.067543;;;;;;
-22.996853;8.635527;-14.173722;0;;;;;;;2.205479;0.18102;-22.996853;0.069349;;;;;;
-22.984802;8.658224;-14.113456;0;;;;;;;2.217529;0.181877;-22.984802;0.071158;;;;;;
-22.97275;8.67711;-14.05319;0;;;;;;;2.229582;0.182734;-22.97275;0.073062;;;;;;
-22.960699;8.693513;-13.992925;0;;;;;;;2.241632;0.183591;-22.960699;0.075088;;;;;;
-22.948647;8.699824;-13.932659;0;;;;;;;2.253685;0.184448;-22.948647;0.077161;;;;;;
-22.936596;8.706263;-13.872394;0;;;;;;;2.265738;0.185306;-22.936596;0.079315;;;;;;
-22.924543;8.710526;-13.812128;0;;;;;;;2.277788;0.186163;-22.924543;0.081504;;;;;;
-22.912491;8.709752;-13.751863;0;;;;;;;2.289841;0.18702;-22.912491;0.083744;;;;;;
-22.90044;8.705895;-13.691597;0;;;;;;;2.301891;0.187456;-22.90044;0.086085;;;;;;
-22.888388;8.700397;-13.631331;0;;;;;;;2.313944;0.187891;-22.888388;0.088506;;;;;;
-22.876335;8.690504;-13.571066;0;;;;;;;2.325996;0.188327;-22.876335;0.091039;;;;;;
-22.864285;8.678958;-13.5108;0;;;;;;;2.338047;0.188763;-22.864285;0.093622;;;;;;
-22.852232;8.667587;-13.450534;0;;;;;;;feb.01;0.189199;-22.852232;0.096282;;;;;;
-22.840179;8.652083;-13.390268;0;;;;;;;2.36215;0.189634;-22.840179;0.099027;;;;;;
-22.828129;8.636219;-13.330003;0;;;;;;;2.374203;0.19007;-22.828129;0.101878;;;;;;
-22.816076;8.617823;-13.269737;0;;;;;;;2.386255;0.190506;-22.816076;0.104763;;;;;;
-22.804026;8.599482;-13.209472;0;;;;;;;2.398306;0.190942;-22.804026;0.107805;;;;;;
-22.791973;8.579173;-13.149206;0;;;;;;;2.410358;0.191377;-22.791973;0.110979;;;;;;
-22.779922;8.557311;-13.088941;0;;;;;;;2.422409;0.19227;-22.779922;0.11427;;;;;;
-22.76787;8.535925;-13.028675;0;;;;;;;2.434462;0.193162;-22.76787;0.117593;;;;;;
-22.755817;8.510679;-12.96841;0;;;;;;;2.446514;0.194054;-22.755817;0.121021;;;;;;
-22.743767;8.484881;-12.908144;0;;;;;;;2.458565;0.194947;-22.743767;0.12456;;;;;;
-22.731714;8.456096;-12.847878;0;;;;;;;2.470617;0.195839;-22.731714;0.128238;;;;;;
-22.719662;8.426394;-12.787612;0;;;;;;;2.48267;0.196731;-22.719662;0.132009;;;;;;
-22.707611;8.396411;-12.727346;0;;;;;;;2.49472;0.197624;-22.707611;0.135818;;;;;;
-22.695559;8.365838;-12.667081;0;;;;;;;2.506773;0.198516;-22.695559;0.139818;;;;;;
-22.683508;8.334233;-12.606815;0;;;;;;;2.518824;0.199408;-22.683508;0.143954;;;;;;
-22.671455;8.302512;-12.54655;0;;;;;;;2.530876;0.200301;-22.671455;0.148175;;;;;;
-22.659403;8.268537;-12.486284;0;;;;;;;2.542929;0.200754;-22.659403;0.152529;;;;;;
-22.647352;8.233209;-12.426019;0;;;;;;;2.554979;0.201206;-22.647352;0.157011;;;;;;
-22.6353;8.197481;-12.365753;0;;;;;;;2.567032;0.201659;-22.6353;0.161595;;;;;;
-22.623249;8.162514;-12.305488;0;;;;;;;2.579082;0.202112;-22.623249;0.166392;;;;;;
-22.611197;8.127223;-12.245222;0;;;;;;;2.591135;0.202565;-22.611197;0.171282;;;;;;
-22.599144;8.090714;-12.184957;0;;;;;;;2.603188;0.203018;-22.599144;0.176294;;;;;;
-22.587093;8.053136;-12.124691;0;;;;;;;2.615238;0.203471;-22.587093;0.181465;;;;;;
-22.575041;8.016238;-12.064425;0;;;;;;;2.627291;0.203924;-22.575041;0.186811;;;;;;
-22.562988;7.97724;-12.004159;0;;;;;;;2.639341;0.204376;-22.562988;0.192349;;;;;;
-22.550938;7.937087;-11.943893;0;;;;;;;2.651394;0.204829;-22.550938;0.197968;;;;;;
-22.538885;7.896761;-11.883628;0;;;;;;;2.663446;0.205755;-22.538885;0.203709;;;;;;
-22.526834;jul.72;-11.823362;0;;;;;;;2.675497;0.206681;-22.526834;0.209675;;;;;;
-22.514782;7.815488;-11.763097;0;;;;;;;2.68755;0.207607;-22.514782;0.215847;;;;;;
-22.502731;7.773887;-11.702831;0;;;;;;;feb.96;0.208532;-22.502731;0.222143;;;;;;
